fileNames,language,imports,numImages
a5c8a574aa767f6d6e22809cea8f577c02df872e.ipynb,python3,"[""scipy misc"", ""scipy ndimage"", "" numpy"", "" matplotlib.pyplot""]",4
dd714134cdf9bc3308dfc83185ec6560605ba186.ipynb,python3,"[""google.colab drive"", "" numpy"", "" warnings"", "" pandas"", ""keras.preprocessing sequence"", ""keras.models Sequential"", ""keras.utils to_categorical"", ""keras.layers Dense"", ""keras.layers Dropout"", ""keras.layers Embedding"", ""keras.layers LSTM"", ""keras.layers Bidirectional"", ""keras.layers CuDNNLSTM"", "" keras"", "" matplotlib.pyplot"", ""gensim.models.word2vec Word2Vec"", "" gensim.downloader"", ""nltk.tokenize TweetTokenizer"", "" tensorflow"", ""sklearn.model_selection train_test_split"", ""sklearn.metrics classification_report""]",3
b8170756b18b92fbac3166981ce38340b87af4ad.ipynb,python3,"["" re"", "" numpy"", ""numpy array"", "" pandas"", "" seaborn"", "" matplotlib.pyplot"", "" warnings"", ""sklearn.model_selection train_test_split"", ""keras.utils to_categorical"", "" keras"", ""keras.preprocessing.text Tokenizer"", ""keras.preprocessing.sequence pad_sequences"", ""keras.models Sequential"", ""keras.layers Dense"", ""keras.layers Embedding"", ""keras.layers Flatten"", ""keras.layers.convolutional Conv1D"", ""keras.layers.convolutional MaxPooling1D"", ""keras.layers.core Dropout"", ""keras.callbacks EarlyStopping"", ""sklearn.metrics confusion_matrix"", ""sklearn.metrics classification_report"", ""sklearn.metrics roc_auc_score"", ""sklearn.metrics f1_score"", ""sklearn.metrics average_precision_score"", "" helper"", ""helper preprocessor"", ""helper precisionmeasures""]",4
cfdf6a0a3137c4eebc51da0eaf5e81a8d05ec0fb.ipynb,python3,"["" os"", "" sys"", "" random"", "" math"", "" re"", "" time"", "" numpy"", "" tensorflow"", "" matplotlib"", "" matplotlib.pyplot"", "" matplotlib.patches"", ""mrcnn utils"", ""mrcnn visualize"", ""mrcnn.visualize display_images"", "" mrcnn.model"", ""mrcnn.model log"", "" nucleus""]",14
f642da990974f465aa45e8afe6856d5c71c6e76b.ipynb,python3,"[""google.colab drive"", "" numpy"", "" pandas"", "" matplotlib.pyplot"", "" seaborn"", ""sklearn.model_selection train_test_split"", ""sklearn.preprocessing StandardScaler"", ""sklearn.neighbors KNeighborsClassifier"", ""sklearn.metrics accuracy_score"", ""sklearn.metrics confusion_matrix"", ""sklearn.metrics f1_score"", ""sklearn.metrics classification_report"", ""sklearn.metrics log_loss"", ""sklearn svm"", ""sklearn.model_selection GridSearchCV"", ""sklearn.ensemble RandomForestClassifier"", ""sklearn.model_selection RandomizedSearchCV"", ""scipy.stats randint"", ""sklearn.ensemble RandomForestClassifier"", ""sklearn.linear_model LogisticRegression""]",16
565879c8d7f2ec665301f0730a606203052add75.ipynb,python3,"["" cv2"", "" matplotlib.patches"", "" numpy"", "" matplotlib.pyplot"", ""keras backend"", ""keras.models Sequential"", ""keras.layers.core Activation"", ""keras.layers.convolutional Conv2D"", ""keras.layers.convolutional MaxPooling2D""]",2
b29b636519dfbcd85c7f77e120080920595e2a7d.ipynb,python3,"["" pandas"", "" matplotlib.pyplot"", ""sklearn.linear_model LogisticRegression"", ""sklearn.model_selection train_test_split"", ""sklearn metrics"", ""utils *"", ""sklearn preprocessing""]",4
00b0872f89f5370a7cc5fd195c4fcaa3369b4a13.ipynb,python3,"["" pandas"", "" numpy"", "" sklearn"", "" seaborn"", "" matplotlib.pylab"", ""sklearn.preprocessing LabelEncoder"", ""sklearn.preprocessing LabelBinarizer"", "" hashlib""]",1
e8a86cd36fc88a3e561f8c64a11d8ea5658e6d5b.ipynb,python3,"["" numpy"", "" pandas"", "" matplotlib.pyplot"", "" seaborn"", "" re"", ""datetime datetime""]",32
e95d0e9dca04afe60f9f41de472464ad3b4a04f7.ipynb,python3,"["" torch"", "" torch.nn"", ""torch.nn init"", "" torchvision"", "" torchvision.transforms"", "" torch.optim"", ""torch.utils.data DataLoader"", ""torch.utils.data sampler"", "" torchvision.datasets"", "" numpy"", "" matplotlib.pyplot"", "" matplotlib.gridspec""]",17
